PassengerId,Survived,Pclass,Gender,Age,Fare,Embarked,FamilySize
121,0,3,male,22.0,7.25,S,1
330,1,1,female,38.0,71.2833,C,1
40,1,3,female,26.0,7.925,S,0
295,1,1,female,35.0,53.1,S,1
654,0,3,male,35.0,8.05,S,0
437,0,1,male,54.0,51.8625,S,0
66,0,3,male,2.0,21.075,S,4
617,1,3,female,27.0,11.1333,S,2
79,1,2,female,14.0,30.0708,C,1
652,1,3,female,4.0,16.7,S,2
622,1,1,female,58.0,26.55,S,0
98,0,3,male,20.0,8.05,S,0
548,0,3,male,39.0,31.275,S,6
85,0,3,female,14.0,7.8542,S,0
209,1,2,female,55.0,16.0,S,0
421,0,3,male,2.0,29.125,Q,5
240,1,2,male,,13.0,S,0
266,0,3,female,31.0,18.0,S,1
710,1,3,female,,7.225,C,0
409,0,2,male,35.0,26.0,S,0
55,1,2,male,34.0,13.0,S,0
210,1,3,female,15.0,8.0292,Q,0
680,0,3,female,8.0,21.075,S,4
587,0,3,male,,7.225,C,0
182,0,1,male,19.0,263.0,S,5
132,1,3,female,,7.8792,Q,0
228,0,3,male,,7.8958,S,0
73,1,3,female,,7.75,Q,0
87,0,1,male,28.0,82.1708,C,1
376,0,1,male,42.0,52.0,S,1
325,1,3,male,,7.2292,C,0
119,0,3,male,21.0,8.05,S,0
454,0,3,female,18.0,18.0,S,2
468,0,3,female,40.0,9.475,S,1
82,0,2,female,27.0,21.0,S,1
445,0,3,male,,7.8958,C,0
78,1,2,female,3.0,41.5792,C,3
513,0,3,male,,8.05,S,0
137,0,3,male,,15.5,Q,1
329,1,3,female,,7.75,Q,0
134,0,3,male,,21.6792,C,2
646,0,3,male,7.0,39.6875,S,5
609,0,3,male,21.0,7.8,S,0
255,1,1,female,49.0,76.7292,C,1
212,1,2,female,29.0,26.0,S,1
50,1,1,male,,35.5,S,0
334,1,2,female,21.0,10.5,S,0
350,0,3,male,28.5,7.2292,C,0
213,1,2,female,5.0,27.75,S,3
443,0,3,male,11.0,46.9,S,7
110,0,3,male,22.0,7.2292,C,0
159,1,1,female,38.0,80.0,,0
576,0,1,male,45.0,83.475,S,1
405,0,1,male,,27.7208,C,0
700,1,3,female,17.0,7.925,S,6
592,0,3,male,26.0,8.6625,S,2
64,0,3,female,16.0,46.9,S,7
211,0,3,male,26.0,14.4542,C,1
560,1,3,male,32.0,56.4958,S,0
452,0,3,male,25.0,7.65,S,0
11,1,3,female,30.0,12.475,S,0
559,0,3,male,22.0,9.0,S,0
354,1,3,male,29.0,9.5,S,0
674,0,1,male,28.0,47.1,S,0
183,1,3,female,33.0,15.85,S,3
524,0,3,male,,8.05,S,0
598,1,1,female,23.0,263.0,S,5
287,0,3,male,24.0,8.05,S,0
591,0,3,male,29.0,8.05,S,0
663,0,3,male,20.0,7.8542,S,0
399,0,1,male,46.0,61.175,S,1
695,0,3,male,26.0,20.575,S,3
616,0,3,male,59.0,7.25,S,0
303,0,3,male,,8.05,S,0
102,1,2,female,34.0,23.0,S,1
526,0,2,male,34.0,26.0,S,1
193,0,3,female,28.0,7.8958,S,0
618,0,3,male,,7.8958,S,0
612,0,1,male,21.0,77.2875,S,1
639,0,3,male,33.0,8.6542,S,0
431,0,3,male,37.0,7.925,S,2
531,0,3,male,28.0,7.8958,S,0
32,1,3,female,21.0,7.65,S,0
545,1,3,male,,7.775,S,0
631,0,3,male,38.0,7.8958,S,0
327,0,3,female,14.5,14.4542,C,1
430,0,3,male,22.0,8.05,S,0
418,0,3,female,20.0,9.825,S,1
569,0,3,female,17.0,14.4583,C,0
56,0,3,male,21.0,7.925,S,0
149,0,3,male,70.5,7.75,Q,0
570,0,2,male,29.0,21.0,S,1
368,0,1,male,24.0,247.5208,C,1
381,0,3,female,2.0,31.275,S,6
77,0,3,male,,8.05,S,0
3,0,2,male,32.5,30.0708,C,1
248,1,2,female,32.5,13.0,S,0
623,0,1,male,54.0,77.2875,S,1
336,1,3,male,12.0,11.2417,C,1
709,0,3,male,,7.75,Q,0
357,1,3,male,24.0,7.1417,S,0
343,1,3,female,,22.3583,C,2
197,0,3,male,45.0,6.975,S,0
300,0,3,male,33.0,7.8958,C,0
488,0,3,male,20.0,7.05,S,0
328,0,3,female,47.0,14.5,S,1
507,1,2,female,29.0,26.0,S,1
665,0,2,male,25.0,13.0,S,0
333,0,2,male,23.0,15.0458,C,0
530,0,3,male,16.0,9.2167,S,0
136,0,3,female,,15.2458,C,2
91,1,3,female,24.0,15.85,S,1
146,0,3,male,19.0,6.75,Q,0
362,0,2,male,18.0,11.5,S,0
347,0,2,male,19.0,36.75,S,2
61,1,3,male,27.0,7.7958,S,0
165,0,3,female,9.0,34.375,S,4
31,0,2,male,36.5,26.0,S,2
70,0,2,male,42.0,13.0,S,0
529,0,2,male,51.0,12.525,S,0
245,1,1,female,22.0,66.6,S,1
45,0,3,male,55.5,8.05,S,0
285,0,3,male,40.5,14.5,S,2
71,0,3,male,,7.3125,S,0
397,0,1,male,51.0,61.3792,C,1
670,1,3,female,16.0,7.7333,Q,0
668,0,3,male,30.0,8.05,S,0
312,0,3,male,,8.6625,S,0
339,0,3,male,,69.55,S,10
156,0,3,male,44.0,16.1,S,1
216,1,2,female,40.0,15.75,S,0
315,0,3,male,26.0,7.775,S,0
166,0,3,male,17.0,8.6625,S,0
412,0,3,male,1.0,39.6875,S,5
7,1,1,female,,55.0,S,1
258,0,3,female,45.0,27.9,S,5
599,0,3,male,28.0,56.4958,S,0
221,0,1,male,61.0,33.5,S,0
655,0,3,male,4.0,29.125,Q,5
133,1,3,female,1.0,11.1333,S,2
292,0,3,male,21.0,7.925,S,0
42,0,3,male,18.0,7.8542,S,2
109,0,3,male,,25.4667,S,4
265,0,1,female,50.0,28.7125,C,0
57,0,2,male,30.0,13.0,S,0
205,0,3,male,36.0,0.0,S,0
572,0,3,female,,69.55,S,10
528,0,2,male,,15.05,C,0
25,0,3,male,9.0,31.3875,S,6
232,1,2,male,1.0,39.0,S,3
175,1,3,female,4.0,22.025,S,2
634,0,1,male,,50.0,S,0
297,1,3,female,,15.5,Q,1
301,1,1,male,45.0,26.55,S,0
111,0,3,male,40.0,15.5,Q,2
83,0,3,male,36.0,7.8958,S,0
52,1,2,female,32.0,13.0,S,0
290,0,2,male,19.0,13.0,S,0
573,1,2,male,3.0,26.0,S,2
474,1,1,female,44.0,27.7208,C,0
410,1,1,female,58.0,146.5208,C,0
251,0,3,male,42.0,8.4042,S,1
590,0,2,female,24.0,13.0,S,0
257,0,3,male,28.0,9.5,S,0
19,0,3,male,,69.55,S,10
335,0,3,male,34.0,6.4958,S,0
667,0,3,male,45.5,7.225,C,0
451,0,3,female,2.0,10.4625,S,1
236,0,3,male,32.0,15.85,S,1
62,1,3,male,26.0,18.7875,C,0
389,0,3,male,22.0,7.25,S,0
435,0,3,male,,7.75,Q,1
30,1,3,female,27.0,7.925,S,0
200,0,2,male,42.0,27.0,S,1
358,0,2,male,30.0,10.5,S,0
261,1,3,male,16.0,8.05,S,0
568,0,2,male,27.0,13.0,S,0
708,0,3,male,51.0,8.05,S,0
214,0,3,male,,7.8958,S,0
649,1,1,male,38.0,90.0,S,1
361,0,3,male,22.0,9.35,S,0
519,1,2,male,19.0,10.5,S,0
249,0,2,male,18.0,13.0,S,0
345,0,3,female,,25.4667,S,4
382,1,1,female,35.0,83.475,S,1
177,0,2,male,59.0,13.5,S,0
235,1,3,female,5.0,31.3875,S,6
538,0,2,male,24.0,10.5,S,0
378,0,2,male,44.0,26.0,S,1
372,1,2,female,8.0,26.25,S,2
669,0,2,male,19.0,10.5,S,0
164,0,2,male,33.0,12.275,S,0
481,0,3,female,,14.4542,C,1
626,1,3,female,,15.5,Q,1
686,0,2,male,29.0,10.5,S,0
364,0,3,male,22.0,7.125,S,0
293,0,1,male,44.0,90.0,Q,2
486,0,3,female,25.0,7.775,S,0
429,1,2,female,24.0,14.5,S,2
105,1,1,male,37.0,52.5542,S,2
115,0,2,male,54.0,26.0,S,1
641,0,3,female,29.0,10.4625,S,2
440,0,1,male,62.0,26.55,S,0
640,0,3,male,30.0,16.1,S,1
276,1,3,female,29.0,15.2458,C,2
93,1,1,female,,79.2,C,0
8,1,1,female,30.0,86.5,S,0
90,1,1,female,35.0,512.3292,C,0
542,1,2,female,50.0,26.0,S,1
427,0,3,male,,7.75,Q,0
535,1,3,male,3.0,31.3875,S,6
394,0,1,male,52.0,79.65,S,2
383,0,1,male,40.0,0.0,S,0
224,0,3,female,,7.75,Q,0
141,0,2,male,36.0,10.5,S,0
29,1,3,male,25.0,7.775,S,1
44,1,1,female,58.0,153.4625,S,1
43,1,1,female,35.0,135.6333,S,0
74,0,1,male,,31.0,S,0
168,1,3,male,25.0,0.0,S,0
491,1,2,female,41.0,19.5,S,1
624,0,1,male,37.0,29.7,C,1
67,1,3,female,,7.75,Q,0
12,0,3,female,45.0,7.75,S,0
320,0,2,male,,0.0,S,0
581,0,3,male,7.0,29.125,Q,5
179,1,3,female,35.0,20.25,S,2
282,0,3,male,16.0,9.5,S,0
650,1,3,male,19.0,8.05,S,0
425,0,1,male,,26.0,S,0
307,0,3,male,33.0,8.6625,C,0
549,0,3,male,22.0,7.8958,S,0
178,1,2,male,42.0,13.0,S,0
692,1,3,female,22.0,7.75,Q,0
466,0,3,female,24.0,8.85,S,0
84,0,1,male,,27.7208,C,0
219,0,1,female,2.0,151.55,S,3
681,1,1,male,,30.5,S,0
553,1,3,male,,23.25,Q,2
413,0,3,male,19.0,0.0,S,0
482,1,2,female,,12.35,Q,0
80,0,3,male,,8.05,S,0
24,1,1,male,0.9167,151.55,S,3
16,1,1,female,17.0,108.9,C,1
447,0,2,male,30.0,24.0,C,1
583,1,1,female,24.0,83.1583,C,0
337,0,3,male,28.0,7.8958,S,0
291,0,2,male,43.0,26.25,S,2
712,1,3,female,26.0,7.8542,S,0
332,1,2,female,24.0,26.0,S,1
432,0,2,male,54.0,14.0,S,0
260,1,1,female,31.0,164.8667,S,2
138,0,3,male,22.0,7.25,S,0
423,1,2,female,30.0,12.35,Q,0
324,0,3,male,,69.55,S,10
34,1,1,female,36.0,135.6333,C,0
319,0,3,male,61.0,6.2375,S,0
355,1,3,female,31.0,20.525,S,2
10,1,1,female,16.0,57.9792,C,1
250,1,3,female,,23.25,Q,2
23,0,1,male,45.5,28.5,S,0
222,0,1,male,38.0,153.4625,S,1
644,1,1,female,,133.65,S,1
698,0,3,male,,7.8958,S,0
353,0,1,male,29.0,66.6,S,1
596,1,1,female,41.0,134.5,C,0
204,0,1,male,45.0,35.5,S,0
457,1,2,male,2.0,26.0,S,2
94,1,1,female,24.0,263.0,S,5
311,0,2,male,25.0,13.0,S,0
533,1,2,female,24.0,13.0,S,0
396,1,2,female,40.0,13.0,S,0
185,1,3,female,,16.1,S,1
588,1,3,male,3.0,15.9,S,2
694,0,3,male,42.0,8.6625,S,0
154,0,1,male,,35.0,S,0
76,0,3,male,15.0,7.2292,C,2
351,0,3,male,25.0,17.8,S,1
278,0,3,male,,7.225,C,0
69,0,3,male,28.0,9.5,S,0
400,1,1,female,22.0,55.0,S,1
189,1,3,female,,7.8792,Q,0
272,0,2,male,29.0,27.7208,C,1
237,0,3,male,,15.5,Q,1
89,0,3,male,30.0,7.25,S,0
604,1,1,female,60.0,75.25,C,1
118,1,3,female,,7.2292,C,0
126,1,3,female,,7.75,Q,0
585,1,1,female,24.0,69.3,C,0
239,1,1,male,25.0,55.4417,C,1
1,0,3,male,18.0,6.4958,S,1
705,0,3,male,19.0,8.05,S,0
356,0,1,male,22.0,135.6333,C,0
500,0,3,female,3.0,21.075,S,4
406,1,3,female,22.0,7.25,S,0
279,0,1,male,27.0,211.5,C,2
117,0,3,male,20.0,4.0125,C,0
229,0,3,male,19.0,7.775,S,0
518,1,1,female,42.0,227.525,C,0
444,1,3,female,1.0,15.7417,C,2
275,0,3,male,32.0,7.925,S,0
517,1,1,female,35.0,52.0,S,1
145,0,3,male,,7.8958,S,0
515,0,2,male,18.0,73.5,S,0
395,0,3,male,1.0,46.9,S,7
645,1,2,female,36.0,13.0,S,0
520,1,2,female,17.0,12.0,C,0
269,1,1,male,36.0,120.0,S,3
487,1,3,male,21.0,7.7958,S,0
508,0,3,male,28.0,7.925,S,2
47,1,1,female,23.0,113.275,C,1
262,1,3,female,24.0,16.7,S,2
196,0,3,male,22.0,7.7958,S,0
713,0,2,male,46.0,26.0,S,0
597,1,2,female,28.0,12.65,S,0
108,1,3,male,39.0,7.925,S,0
484,0,3,male,26.0,8.05,S,0
534,0,3,female,21.0,9.825,S,1
341,0,3,male,28.0,15.85,S,1
101,0,3,female,20.0,8.6625,S,0
370,0,2,male,34.0,21.0,S,1
638,0,3,male,51.0,7.75,S,0
546,1,2,male,3.0,18.75,S,2
180,0,3,female,,25.4667,S,4
305,0,3,male,,7.8958,S,0
483,0,3,male,,6.8583,Q,0
685,1,1,female,33.0,90.0,Q,1
150,0,2,male,,0.0,S,0
125,1,3,male,44.0,7.925,S,0
660,0,3,female,,8.05,S,0
619,0,2,male,30.0,13.0,S,0
186,0,3,female,10.0,24.15,S,2
449,0,3,male,,7.8958,C,0
628,0,3,male,21.0,7.7333,Q,0
703,0,3,female,28.0,14.4,S,2
363,0,3,male,18.0,20.2125,S,2
322,0,3,male,,7.25,S,0
658,1,2,female,19.0,26.0,S,0
143,0,3,male,,7.75,Q,0
142,1,3,male,32.0,8.05,S,0
691,1,1,male,28.0,26.55,S,0
321,1,3,female,,16.1,S,1
20,1,2,female,42.0,26.0,S,1
173,0,1,male,50.0,55.9,S,1
579,1,1,female,14.0,120.0,S,3
313,0,3,female,21.0,34.375,S,4
697,1,2,female,24.0,18.75,S,5
13,0,1,male,64.0,263.0,S,5
306,1,2,female,45.0,26.25,S,2
26,0,3,male,20.0,9.5,S,0
532,1,2,female,28.0,13.0,S,0
170,1,3,male,,8.1125,S,0
595,1,1,male,4.0,81.8583,S,2
673,1,1,male,52.0,30.5,S,0
246,0,2,male,36.0,27.75,S,3
